sentence,fuel,machine,others,part,price,service
"Karakter mesin Livina kenceng ing high RPM utawi perjalanan adoh.",neutral,positive,neutral,neutral,neutral,neutral
"Avanza keren sanget menika mobil. Daya tahan mesine boten perlu diragukake. Ing tanjakan ugi boten isin-isinan.",neutral,positive,positive,neutral,neutral,neutral
"Tahun 2018 awal nyoba Altis gen 11 facelift, rasane menika mobil sayahe sayahe irit mawon.",positive,neutral,neutral,neutral,neutral,neutral
"Lucu sanget menika AHASS Honda, nembe setengah dinten, menika dereng jam 10, sampun boten nampa servis montor malih.",neutral,neutral,neutral,neutral,neutral,negative
"Rush 2018 varian G AT irit migunakaken bahan bakar.",positive,neutral,neutral,neutral,neutral,neutral
"Bingung menawi servis ing bengkel biasa, wedhi menawi hasilipun awon, nanging menawi servis ing Honda, reginipun larang.",neutral,neutral,neutral,neutral,neutral,negative
"Brio gadhah fitur keamanan ingkang langkung, ingkang boten dipun-gadhahi dening 86, yaiku speed limiter ing 145 km/h.",neutral,neutral,neutral,positive,neutral,neutral
"Dawa sanget kerja teknisi Honda!! Masa sampun 20 antrean, nanging montorku dereng dipun-garap? Sampun wiwit jam 10, woi! Saestu, menawi babagan servis, Yamaha langkung sae!",neutral,neutral,neutral,neutral,neutral,positive
"Tenagane pancen sae, nanging desain Pajero ketingal kados banci… boten cekap gagah model Pajero menika.",neutral,positive,neutral,negative,neutral,neutral
"Inden Fortuner rawuhe cepet sanget, mung cukup 1 wulan kemawon.",neutral,neutral,neutral,neutral,neutral,positive
"Bebek lan Xenia sami-sami irit, juragan, pokoké Xenia menika.",positive,neutral,neutral,neutral,neutral,neutral
"Gadhah Beat injeksi, irité boten kepalang, dipun-ginakaken kanggé kenceng ugi sae, nanging setire kadhang goyang-goyang kados ban kempes.",positive,neutral,neutral,negative,neutral,neutral
"Kula sarujuk, Vario langkung kepenak tinimbang Mio.",neutral,neutral,negative,neutral,neutral,neutral
"Nembe sawetara wulan ngangge Nmax, kok sampun bosen, nggih?",neutral,neutral,negative,neutral,neutral,neutral
"Mobil kula Xenia 1.3 cc, puas sanget nganggenipun.",neutral,neutral,positive,neutral,neutral,neutral
"Vario pokoke langkung sae tinimbang Mio ing sakabehing bab.",neutral,neutral,negative,neutral,neutral,neutral
"Xenia jarene langkung irit, lan aja lali, pajeg mobil ugi dipun-tentukan miturut CC kendharaan.",positive,neutral,neutral,neutral,neutral,neutral
"Fun to drive, saestu Honda Brio taksih langkung nyenengake tinimbang Sirion.",neutral,neutral,negative,neutral,neutral,neutral
"Kula sakjane ugi kepengin gadhah mobil Rush kanthi desain ingkang sporty.",neutral,neutral,neutral,positive,neutral,neutral
"Bengkel Honda 0001, boten rekomendasi!! Awon.",neutral,neutral,neutral,neutral,neutral,negative
"Kijang Innova pokoké juara, mobil mewah nanging regané boten larang.",neutral,neutral,positive,neutral,positive,neutral
"Honda Vario 125 2018 punika kepenak sanget dipun-ginakaken, kanggé nyalip ugi enak, mesiné langkung alus tinimbang Vario ingkang lawas.",neutral,positive,positive,neutral,neutral,neutral
"Sampun bensiné irit, mesiné ugi awet. Perjalanan sayahe sayahe lancar. Harga jual boten mudhun, dibandingake kaliyan merek sanès.",positive,positive,neutral,neutral,positive,neutral
"Perasaan ndeleng Veloz ing dalan, padahal menika model enggal, nanging katon biasa kemawon, kurang greget.",neutral,neutral,negative,neutral,neutral,neutral
"Kula ngangge Grand Livina wiwit taun 2008, kilometere sampun megh 400 ewu. Masih kepenak kemawon, lan tetep irit.",positive,neutral,positive,neutral,neutral,neutral
"Niki mobil mantap, diajak ngoyak Innova taksih saged. Mung bodiné kemawon, kurang rigid. Menawi dibeta mlayu ing tol, kroso kados melayang.",neutral,neutral,positive,negative,neutral,neutral
"Nanging, tetep kalah telak kaliyan Pajero Sport.",neutral,neutral,positive,neutral,neutral,neutral
"Rega murah punika salah satunggal kelebihan Toyota Calya.",neutral,neutral,neutral,neutral,positive,neutral
"Rush punika SUV menengah ingkang sanget narik kawigaten.",neutral,neutral,positive,neutral,neutral,neutral
"Isuzu Panther Grand Touring taun 2009, mobil ingkang tangguh kaliyan mesin diesel ingkang irit lan bandel. Reginé namung 167 jutaan, juragan.",positive,positive,neutral,neutral,positive,neutral
"Salah satunggal ingkang mboten maksimal saking Xenia menika menawi bebanipun kebak, kapasitas tenaganipun kroso kurang.",neutral,negative,neutral,neutral,neutral,neutral
"Scoopy mboten cocog kanggé mahasiswa.",neutral,neutral,negative,neutral,neutral,neutral
"Mantap reviewipun… leres, menawi babagan handling pancen boten perlu diragukake, ndamel Brio sayahe sayahe fun to drive.",neutral,neutral,positive,positive,neutral,neutral
"Mobil Toyota Avanza menika mobil ingkang reginipun murah, nanging boten murahan.",neutral,neutral,neutral,neutral,positive,neutral
"Mobil ingkang boten nate kula lirik ing dalan… Mobilio lan BR-V… desainipun semrawut, awon pol.",neutral,neutral,neutral,negative,neutral,neutral
"Avanza dados langkung praktis kanggé dipun-ginakaken ing maneka rute kaliyan kondisi dalan ingkang sempit, juragan.",neutral,neutral,positive,neutral,neutral,neutral
"Menawi panjenengan milih Fortuner, mesthi boten bakal nyesel, amargi Fortuner punika canggih.",neutral,neutral,positive,neutral,neutral,neutral
"Ingkang kula boten remen saking Terios menika kaki-kakinipun ingkang boten cekap kuat lan rame sanget.",neutral,neutral,neutral,negative,neutral,neutral
"Gadhah montor Yamaha boten nate ndamel pusing, amargi perawatanipun sederhana, reginipun murah, sarta boten nyedot wekdal. @YamahaIndonesia #40thYamaha",neutral,neutral,neutral,neutral,neutral,positive
"Nanging, bengkel Honda ing cedhak Ring Road menika awon :|",neutral,neutral,neutral,neutral,neutral,negative
"Cukup nyengsemaken, saking sisi rega, kelengkapan, lan mesthinipun mesin ingkang ngginakaken 4 silinder, kula pitados bakal laris sanget.",neutral,neutral,neutral,neutral,positive,neutral
"Sakabèhané, kula kecewa abot kaliyan Honda HR-V.",neutral,neutral,negative,neutral,neutral,neutral
"Toyota Rush kepenak dipun-ginakaken saben dinten ing kitha lan santai kanggé mudik.",neutral,neutral,positive,neutral,neutral,neutral
"Kebetulan kula ugi ngangge Livina wiwit 2010. Keluhanipun sami, mesiné ngelitik sanajan sampun bolak-balik beres kaping pinten-pinten.",neutral,negative,neutral,neutral,neutral,neutral
"Jazz langkung bandel menawi dibandingake kaliyan Brio.",neutral,negative,neutral,neutral,neutral,neutral
"Aja purun servis ing bengkel Toyota, reginipun kemahalan sanget, palayananipun ugi boten nyenengaken.",neutral,neutral,neutral,neutral,neutral,negative
"Aja tumbas Brio, kenyamanane awon sanget, langkung sae Calya, tansah kepenak kanggé tindak pundi-pundi.",neutral,neutral,positive,neutral,neutral,neutral
"Aja tumbas mobil produk @DaihatsuInd, utaminipun Xenia, amargi mesiné gampil njeblug.",neutral,negative,neutral,neutral,neutral,neutral
"Kanggé bab safety lan security, Grand New Avanza gadhah maneka fitur ingkang ndhukung keamanan lan keselamatan.",neutral,neutral,neutral,positive,neutral,neutral
"Liburan dhateng Bali sekawan tiyang kaliyan Wuling Confero S Lux+, BBMipun irit sanget.",positive,neutral,neutral,neutral,neutral,neutral
"Terios menika mobil ingkang cocok kanggé sakabehing medan.",neutral,neutral,positive,neutral,neutral,neutral
"Vario banipun sampun tubeless, bensiné irit, ditambah bagasi ingkang lega, ndamel ati remen lan spirit bahagia.",positive,neutral,neutral,positive,neutral,neutral
"Konsumsi bahan bakar Honda Mobilio tipe E CVT Prestige cukup irit, inggih punika 14,2 km/liter kanthi kecepatan 40-60 km/jam.",positive,neutral,neutral,neutral,neutral,neutral
"Calya mobilipun irit bahan bakar, kula isi kebak saged kanggé mlampah-mlampah ngubengi kitha-kitha, saéngga boten asring mampir ing SPBU.",positive,neutral,neutral,neutral,neutral,neutral
"Suzuki Ertiga menika mobil ingkang reginipun murah, nanging boten murahan, dipun-deleng saking interioripun ingkang mantap.",neutral,neutral,neutral,positive,positive,neutral
"Toyota, monggo maju, aja kados mekaten terus. Rega larang, nanging ingkang dipun-gayuh namung sakedhik sanget.",neutral,neutral,negative,neutral,negative,neutral
"Bengkel mobil Honda ing Autoland menawi wonten masalah ingkang serius lan katingalipun saged bebas biaya, mesthi badhe nampik servis.",neutral,neutral,neutral,neutral,neutral,negative
"Fortuner menika mobil irit bahan bakar lan kepenak. Namung ngangge biosolar, mobil saged mlampah kanthi sempurna. Kabuktosan, saking Jakarta dhateng Surabaya namung kaping kalih isi solar, punika ugi taksih saged kanggé mubeng kitha Surabaya.",positive,neutral,positive,neutral,neutral,neutral
"Pokoké Yamaha keren sanget, sayahe sayahe saya ing ngarep lan tetep ingkang paling sae. Montoripun kepenak dipun-ginakaken, mesiné alus, pria utawi wanita sami cocog ngangge Yamaha.",neutral,positive,positive,neutral,neutral,neutral
"Kula ngentosi pirang-pirang taun. Kapan, nggih, Daihatsu Sukabumi gadhah bengkel ingkang layak kados Toyota lan Honda? Ingkang sampun wonten menika awon boten main.",neutral,neutral,neutral,neutral,neutral,negative
"Avanza lajune ugi lumayan cepet, ing tol saged nggayuh 140 km/jam.",neutral,positive,neutral,neutral,neutral,neutral
"Kanggé bensin Fortuner, boten perlu dipun-taken. Kula isi kebak ing Minggu, lan punika saged dipun-ginakaken ngantos rong minggu candhakipun. Irit sanget, ta!",neutral,positive,neutral,neutral,neutral,neutral
"Ingkang paling ok kanggé jalur semi off-road lan tanjakan punika Terios.",neutral,positive,neutral,neutral,neutral,neutral
"Kanthi desain aerodinamis, ndamel mobil Grand New Veloz sanget gampil dipun-kendhaleni.",neutral,neutral,neutral,positive,neutral,neutral
"Mobilio sae, purna-jualipun ugi oke.",neutral,neutral,positive,neutral,positive,neutral
"HR-V kagungan tangga kula kok shock ngarepipun keras, nggih?",neutral,neutral,neutral,negative,neutral,neutral
"Mitra kula, kanggé rega mobil sakelasipun, dumugi samenika mbokmenawi IGNIS punika ingkang paling value for money.",neutral,neutral,neutral,neutral,positive,neutral
"Vario langkung gesit tinimbang Mio.",neutral,negative,neutral,neutral,neutral,neutral
"Rush 2018 ingkang kula gadhahi, varian G AT, swanten mesiné kasar.",neutral,negative,neutral,neutral,neutral,neutral
"Avanza namung ngentekaken kirang langkung 40 liter bensin kanggé 700 km, bung. Irit sanget menika!",positive,neutral,neutral,neutral,neutral,neutral
"Tegese, Karimun Wagon R saged dados rujukan, bang. Pas kebetulan kula nembe nggoleki LCGC ingkang reginipun mirah meriah lan pas ing pasaran.",neutral,neutral,neutral,neutral,positive,neutral
"Ati-ati mawon, Mobilio purna-jualipun asring tumedhak.",neutral,neutral,neutral,neutral,negative,neutral
"Kathah perkawis menarik ing mobil Toyota Calya menika, reginipun mirah.",neutral,neutral,neutral,neutral,negative,neutral
"Kawasaki Athlete krasa klasik, nanging kurang narik kawigaten. Kados setengah-setengah.",neutral,neutral,negative,neutral,neutral,neutral
"Kesimpulan sakwisé ngangge Fortuner VRZ, kenyamanan menika wigati sanget, interioripun endah, mesthi ndamel krasan wonten ing mobil.",neutral,neutral,positive,positive,neutral,neutral
"Menika mobil Avanza langkung boros tinimbang mobil BMW.",positive,neutral,neutral,neutral,neutral,neutral
"Salajengipun elegan, motor ugi keren kanggé para mudha utawi sepuh. Kajawi punika, perawatane gampil sanget, lan onderdilipun murah. Menika ndamel kula remen dhateng produk Honda. Salajengipun, ugi irit bahan bakar, kanthi mesin injeksi ingkang ndamel mesin langkung awet lan tangguh. Kanggé perjalanan adoh, mesiné tetep sae.",positive,positive,neutral,positive,neutral,positive
"Luar biasa pelayanan Astra Daihatsu ing Jalan Sisingamangaraja menika! Servis mobil ganti oli, pikantuk cuci gratis!",neutral,neutral,neutral,neutral,neutral,positive
"Kegoblokan Nissan ing GL menika, mesiné boten dipun-paringi Knock Sensor (namung satunggal alat kemawon, pelit sanget).",neutral,negative,neutral,neutral,neutral,neutral
"Regi mirah, kualitas terjamin, Ertiga pancen mobil ingkang mantap jaya!",neutral,neutral,positive,neutral,positive,neutral
"Asli, Avanza kula langkung boros akhir-akhir menika.",negative,neutral,neutral,neutral,neutral,neutral
"Sasampunipun panggunaan sawatawis wekdal, motor menika sanget nyaman, empuk sanget nalika ngliwati dalan ingkang rusak, kados lempeng kemawon tanpa guncangan ingkang berarti.",neutral,neutral,positive,neutral,neutral,neutral
"Kanthi ngginakaken Avanza ingkang super irit, pengeluaran kula saged langkung terjangkau.",positive,neutral,neutral,neutral,neutral,neutral
"Menika mobil menawi dipun-ginakaken kanggé mudik mesthi nyaman, badan boten pegel-pegel.",neutral,neutral,positive,neutral,neutral,neutral
"Kula lan rombongan ngginakaken Xenia 1.0, lan tetela tenaga Xenia 1.0 menika ugi sae sanget!",neutral,positive,neutral,neutral,neutral,neutral
"Sigra ugi gadhah tenaga ingkang kiyat kanggé dipun-ginakaken nglaju ing dalan lintas Sumatra ingkang abot.",neutral,positive,neutral,neutral,neutral,neutral
"Kula ngginakaken Xenia Li VVTi 2007, nggih sadar mawon menawi gadhah mobil ingkang mirah meriah kanthi mesin 1000 cc menika.",neutral,neutral,neutral,neutral,positive,neutral
"Yamaha Nmax perawatane boten ruwet, lan reginipun terjangkau.",neutral,neutral,neutral,neutral,positive,positive
"Kaunggulan mobil Avanza enggal menika sparepart-ipun ingkang gampil dipun-goleki.",neutral,neutral,neutral,positive,neutral,neutral
"Great New Xenia gadhah rega ingkang ramah lan interior ingkang lumayan kanggé tipe ingkang paling inggil.",neutral,neutral,neutral,positive,positive,neutral
"Brio sae sanget, boten ngapusi!",neutral,neutral,positive,neutral,neutral,neutral
"Sasampunipun kula kagungan Honda Sonic, gesang kula rumiyin langkung leluasa kanggé nglangkungi dhateng pundi-pundi ingkang dipun-kersakaken.",neutral,neutral,positive,neutral,neutral,neutral
"Nanging, kanggé kaki-kaki, mobil kula sakedhik rame, utamane menawi ngliwati dalan ingkang rusak, swanten kaki-kakiipun ketara sanget.",neutral,neutral,neutral,negative,neutral,neutral
"Entah napa, kula langkung nyaman kaliyan Brio generasi kapisan. Kaki-kakinipun langkung cendhek, lampu wingking bulat katingal sae, lan kacané semi frameless.",neutral,neutral,positive,positive,neutral,neutral
"Sampun 5 taun kula ngginakaken Kijang Innova. Kanggé panggunaan saben dinten ingkang intens, mobil menika kalebet ramah perawatan.",neutral,neutral,neutral,neutral,neutral,positive
"Brio tansah gadhah karakter ingkang kiyat lan unik piyambak. Sirion kados boten gadhah jati dhiri.",neutral,neutral,negative,neutral,neutral,neutral
"Mobil kula Xenia taun 2004, tipe Li standar. Spionipun taksih model tipis, boten katingal elegan.",neutral,neutral,neutral,negative,neutral,neutral
"Fortuner boros sanget bahan bakaripun, boten kados Altis ingkang hemat sanget.",positive,neutral,neutral,neutral,neutral,neutral
"Luwih sae milih Wuling Almaz. Fitur kathah, mesin turbo, bodiné ageng, reginipun ugi narik kawigaten.",neutral,positive,neutral,positive,positive,neutral
"Xenia kula asring dipun-ginakaken dhateng Tasikmalaya lumantar Nagrek, boten nate gadhah masalah.",neutral,neutral,positive,neutral,neutral,neutral
"Pelayanan bengkel Honda AutoBest Soekarno Hatta awon sanget. Pantes wae sepi terus.",neutral,neutral,neutral,neutral,neutral,negative
"Menawi saking fitur, Sirion unggul. Nanging menawi saking desain, miturut kula, Brio langkung seksi lan boten mboseni.",neutral,neutral,neutral,positive,neutral,neutral
"Kula remen Xenia. Reginipun mirah, desain lucu, saged ngangkut kathah barang, gampang dipun-ginaaken, boten mbutuhake papan parkir ageng. Pokokmen maknyus.",neutral,neutral,positive,positive,positive,neutral
"Toyota Calya hemat bahan bakar lan kabiné saged nampung kathah tiyang.",positive,neutral,neutral,positive,neutral,neutral
"Kula getun tumbas Honda Vario, awon sanget motoripun.",neutral,neutral,negative,neutral,neutral,neutral
"Honda Beat Sporty hemat bahan bakar, modelipun saé, sporty, lan warna pilihan kathah, nanging kula remen warna Black Hard.",positive,neutral,neutral,positive,neutral,neutral
"Menawi Xi Plus, babagan speed boten kedah ragu, saged dites kaliyan mobil kelas sanes.",neutral,positive,neutral,neutral,neutral,neutral
"Namung nate ngluh mawon, menawi Xenia koplingipun atos lan motor locking dooripun usang.",neutral,neutral,neutral,negative,neutral,neutral
"Tansah remen nalikanipun numpak Aerox.",neutral,neutral,positive,neutral,neutral,neutral
"Hahaha, Mas Fitra begja rawuh ing Honda cabang punika, stafipun ramah, bengkelipun saé lan resik.",neutral,neutral,neutral,neutral,neutral,positive
"Nanging, sakmenika kula gadhah pengganjel, menawi ngliwati polisi turu, Xenia kadosipun dasboripun muni, kados kirang rigid.",neutral,neutral,neutral,negative,neutral,neutral
"Dadi kesimpulan kula babagan XPander: "" Enggak banget deh  .""",neutral,neutral,negative,neutral,neutral,neutral
"Terios enggal penak dipun-ginakaken lan nyaman.",neutral,neutral,positive,neutral,neutral,neutral
"Kualitas jok lungguhan Avanza nyaman, amargi sampun migunakaken bahan lungguhan ingkang berkualitas sae.",neutral,neutral,neutral,positive,neutral,neutral
"Nanging, kula bangga kagungan Karimun Wagon R, mobil punika saged dipun-andelaken lan ramah ing kanthong.",neutral,neutral,positive,neutral,positive,neutral
"Rush enggal ketingal langkung gagah lan keren.",neutral,neutral,positive,neutral,neutral,neutral
"Sikil-sikil HRV krasa rame menawi nyerang polisi turu. Lan punika gadhah efek kretek-kretek ing lawang bagasi. Rame sanget.",neutral,neutral,neutral,negative,neutral,neutral
"Saking sapunika kula ngginakaken Toyota Calya, dompet kula boten bocor malih, tegesipun BBM-ne irit sanget. Lan boten sering ngisi BBM malih.",positive,neutral,neutral,neutral,neutral,neutral
"Toyota Innova diesel leres-leres penak dipun-kendharani, perawatane gampang, lan irit BBM sanget.",positive,neutral,positive,neutral,neutral,positive
"Brio menawi diajak lumampah, lincah sanget, tarikane ugi lembut.",neutral,positive,neutral,neutral,neutral,neutral
"Luwih sae milih Calya, irit, suspensi nyaman, saged muat kathah, inline 4 silinder kanthi teknologi VVT-i, saged dipun-ginakaken kangge taksi daring.",positive,neutral,neutral,positive,neutral,neutral
"Kangge bahan bakar, mesthi wae Avanza ingkang langkung irit.",positive,neutral,neutral,neutral,neutral,neutral
"Leres sanget, Scoopy punika sae sanget, cocog kangge para estri. Mesinipun ugi lembut, lan banipun katingal lucu.",neutral,positive,positive,positive,neutral,neutral
"Leres om Fitra ngendika, recall master rem HRV saking dealer antreane langkung saking 3 wulan, punika recall.",neutral,neutral,neutral,neutral,neutral,negative
"Kula langkung milih Innova kangge montor kulawarga, sanajan reginipun langkung awis.",neutral,neutral,positive,neutral,negative,neutral
"Mobil kula Avanza tipe G 1300 cc taun 2007, dumugi samenika mesiné boten rewel lan bahan bakaré taksih irit.",positive,positive,neutral,neutral,neutral,neutral
"Suspensi XPander empuk lan nyaman.",neutral,neutral,neutral,positive,neutral,neutral
"Mending niki ketimbang Honda Jazz city car larang nanging fitur sithik.",neutral,neutral,neutral,negative,negative,neutral
"Desain dasbor HRV keren, ketok-ketok kados dipun-orientasiaken dhateng pengemudi.",neutral,neutral,neutral,positive,neutral,neutral
"Kula ngginakaken Avanza taun 2009 transmisi manual. Kualitas mesin sae sanget. Sanajan pangopènan minimal, nanging asilipun maksimal.",neutral,positive,neutral,neutral,neutral,neutral
"Kula langkung milih Xi, awis sanget bedanipun tipis, utaminipun yen macet ing kitha ageng, boten ngaruh. Xi kanggé luar kitha penak, tanjakan ugi sae.",positive,neutral,positive,neutral,neutral,neutral
"Pungkasanipun saged tumbas mobil. Pilihan kula dhateng Daihatsu Xenia Sporty. Mobil niki nyaman sanget. Interior sae lan elegan. Lari ugi stabil lan mantap.",neutral,positive,positive,positive,neutral,neutral
"Xenia Li kula konsumsi BBM-ipun awis sanget.",positive,neutral,neutral,neutral,neutral,neutral
"Avanza gayane lawas, mboten cocok kanggé mahasiswa.",neutral,neutral,neutral,negative,neutral,neutral
"Brio sae sanget, boten kados mobil lawas kula si Calya ingkang mboten sae.",neutral,neutral,negative,neutral,neutral,neutral
"Boten wonten ingkang saged ngasoraken ketangguhan mesin Avanza.",neutral,positive,neutral,neutral,neutral,neutral
"Gampang anggenipun dikendhareni, boten abot. Onderdil gampil dipun-goleki. Kathah konter Honda ing sacelak griya, dados boten kedah tebih nggolek panggonan servis.",neutral,neutral,positive,positive,neutral,positive
"Yamaha Aerox R tarikane sae, mesin hebat, bodi sporty.",neutral,positive,neutral,positive,neutral,neutral
"Ing taun 2017, kula tumbas Beat. Status kula pelajar, dados saben dinten kula ginakaken dhateng sekolah. Jujur tarikane nyaman lan lincah, nanging sayange ground clearance kurang dhuwur.",neutral,positive,neutral,negative,neutral,neutral
"Cat Xenia, mboten mangertos napa sebabipun, gampang sanget baret alus.",neutral,neutral,neutral,negative,neutral,neutral
"Xenia Li biru DLX AC-ipun adem ugi. Mantap.",neutral,neutral,neutral,positive,neutral,neutral
"Reginipun terjangkau, model lan teknologi modern, pangopènan gampil, awis bahan bakar, lan purna-jual sae. Mantap Honda Beat.",positive,neutral,positive,positive,positive,positive
"Desain lan interior Fortuner langkung sae.",neutral,neutral,neutral,positive,neutral,neutral
"Menawi ningali spesifikasinipun, reginipun Ertiga kalebet larang.",neutral,neutral,neutral,neutral,negative,neutral
"Dealer lan bengkelipun HRV ing ngriku, pelayanane sae sanget lan reginipun mirah, mas.",neutral,neutral,neutral,neutral,neutral,positive
"Toyota Calya mobil kulawarga LCGC, reginipun mirah nanging mboten mirahan.",neutral,neutral,neutral,neutral,positive,neutral
"Sanajan sakabehipun sae, nanging menawi boros bensin, kula dados males tumbas.",negative,neutral,positive,neutral,neutral,neutral
"Sampun langkung setahun, Toyota Calya punika kula anggen dhateng panggonan ekstrem, nanging dugi sapunika taksih mboten nate manggih masalah.",neutral,neutral,positive,neutral,neutral,neutral
"Kula pitados, rega jual Toyota luwih larang tinimbang merek sanes.",neutral,neutral,neutral,neutral,positive,neutral
"Menawi kagungan Toyota, kedah sabar menawi pelayanane kurang sae.",neutral,neutral,neutral,neutral,neutral,negative
"Honda Vario mesthi awis BBM, sanajan motor matic, nanging kecepatane tetep tangguh dibanding motor CC sami kanthi transmisi manual.",positive,positive,neutral,neutral,neutral,neutral
"Wuling Confero punika mobil ingkang cocog sanget kangge lelampahan tebih.",neutral,neutral,positive,neutral,neutral,neutral
"Kula remen sanget kaliyan Terios enggal.",neutral,neutral,positive,neutral,neutral,neutral
"Kula ugi ngginakaken Honda. Salah satunggal ingkang kula remeni saking merek punika, inggih punika kepraktisanipun.",neutral,neutral,positive,neutral,neutral,neutral
"Kaping pisan nyoba nyopir Honda Beat Sporty, kula remen sanget tarikane lincah lan menawi tanjakan, enteng.",neutral,positive,neutral,neutral,neutral,neutral
"Calya boten dipun-desain kangge panggunaan ing medan angel, lemah!",neutral,neutral,neutral,negative,neutral,neutral
"Menawi kangge usaha, ngginakaken Li kemawon, mesthi nyaman.",neutral,neutral,positive,neutral,neutral,neutral
"Altis 2010 kemawon taksih nyaman, langkung-langkung ingkang 2014.",neutral,neutral,positive,neutral,neutral,neutral
"Honda Vario sanget lincah lan tangguh, nganter kula dhateng pundi kemawon, ngliwati lekukan lan pojokan Yogyakarta tanpa kuatir.",neutral,positive,neutral,neutral,neutral,neutral
"Honda HRV, kaki-kakiipun raos ringkih. Per wingking gampang jedhuk.",neutral,neutral,neutral,negative,neutral,neutral
"Sabeneripun, alesane kula milih Honda amargi tarikane mesin luwih penak kangge saben dinten. Luwih cocok kaliyan selera kula. Dados minor change utawi major change, namung bab selera.",neutral,positive,neutral,neutral,neutral,neutral
"Rumiyin, kula ragu kangge tumbas Wuling Confero L, nanging reginipun ingkang mirah sanget ndadosaken kula milih mobil punika.",neutral,neutral,neutral,neutral,positive,neutral
"Menawi kula, tetep milih Avanza amargi sampun kabuktosan kehandalan mesine.",neutral,negative,neutral,neutral,neutral,neutral
"Xenia Xi Sporty menawi nguripaken AC, swanten mesinipun rame sanget.",neutral,negative,neutral,neutral,neutral,neutral
"Avanza, kenyamananipun ingkang paling juara.",neutral,neutral,positive,neutral,neutral,neutral
"Kula kagungan HRV E 2018, tenaganipun lumayan.",neutral,positive,neutral,neutral,neutral,neutral
"Karimun Wagon R saged dipilih miturut kabutuhan lan budjet, supados tetep saged menikmateni lan mboten nganggu kabutuhan sanesipun.",neutral,neutral,neutral,neutral,positive,neutral
"Avanza punika bodinipun saya sae, langkung irit bahan bakar, suku cadange kathah lan mirah, ukuran langkung lega, gampang dipun-jual, rega jual tinggi, nyenengake kangge mulih kampung, lan perawatanipun mirah. Langkung elegan.",positive,neutral,positive,positive,positive,positive
"Honda Brio langkung worth it menawi kepengin mobil ingkang fun to drive.",neutral,neutral,positive,neutral,neutral,neutral
"Avanza punika amargi bobotipun langkung ringan, juragan.",neutral,neutral,neutral,positive,neutral,neutral
"Yamaha 125 ZR mboten boten laku, nanging reginipun krasa nglangit.",neutral,neutral,neutral,neutral,negative,neutral
"Tegese mesin Xenia sampun kabuktosan sae, awet, lan irit BBM.",positive,positive,neutral,neutral,neutral,neutral
"Miturut kula, Veloz mboten seindah punika, mboten nyaman menawi dipun-bandingaken kaliyan sanesipun.",neutral,neutral,negative,neutral,neutral,neutral
"Kula kagungan mobil rentalan 50 unit Xenia, yuswane sampun 3 taun, nanging satunggal kemawon boten nate ngalami masalah mesin meledak.",neutral,positive,neutral,neutral,neutral,neutral
"Leres, Xpander, fasilitas servisipun ugi sae sanget.",neutral,neutral,neutral,neutral,neutral,positive
"Salah satunggal ingkang kula remeni saking Yamaha inggih punika layanan purna-jualipun.",neutral,neutral,neutral,neutral,neutral,positive
"Sedaya produk Nissan laris keras ing pasaran.",neutral,neutral,positive,neutral,neutral,neutral
"Sajeroning 2 taun, taksih boten nate manggih kendala, Sigra pancen mantap.",neutral,neutral,positive,neutral,neutral,neutral
"Ternyata pelayanan bengkel-bengkel Yamaha asli awon sanget, kula ndandosi starter tangan, dugi bolak-balik, mbayar dhateng bengkel, nanging tetep mboten saged dipun-ginakaken.",neutral,neutral,neutral,neutral,neutral,negative
"Aduh, kula dados sesel tumbas Alya.",neutral,neutral,negative,neutral,neutral,neutral
"Nalika kula dhateng ing kana ing dinten kerja, karyawanipun namung sakedhik, piye menika pelayanan Daihatsu kangge para pelanggan?",neutral,neutral,neutral,neutral,neutral,negative
"Mesin Avanza ugi bertenaga, juragan.",neutral,positive,neutral,neutral,neutral,neutral
"Altis G 2003 MT, mesinipun krasa sanget powerful wonten ing RPM 2.500, pancen mantap.",neutral,positive,neutral,neutral,neutral,neutral
"Kula bangga sanget kagungan mobil Xenia punika, sanajan reginipun larang.",neutral,neutral,positive,neutral,negative,neutral
"Pilihan warna Brio lucu-lucu, kula bingung milih ingkang pundi.",neutral,neutral,neutral,positive,neutral,neutral
"Kula kagungan motor Vespa Sprint, punika motor ingkang kula angge wiwit SMA. Wonten wekdal punika, punika motor ingkang paling keren, sae, lan ganteng sanget. Reginipun ugi bersahabat.",neutral,neutral,positive,neutral,positive,neutral
"Avanza punika cocok sanget kangge dipun-ginakaken liburan kaliyan kulawarga, nyaman sanget.",neutral,neutral,positive,neutral,neutral,neutral
"Enak ugi punika Xenia 1000 cc, irit lan lincah, hehe.",positive,positive,positive,neutral,neutral,neutral
"Suspensi Toyota Calya nyaman, saged manggaaken kathah tiyang, inline 4 Silinder kaliyan teknologi VVT-i, saged dipun-ginakaken kangge taksi daring.",neutral,neutral,neutral,positive,neutral,neutral
"Ertiga gayanipun sae sanget, tarikanipun ugi mantap lan bandel, nanging sayang, boros sanget.",negative,positive,neutral,positive,neutral,neutral
"Daihatsu Xenia ingkang paling pas kangge kula lan kulawarga, perawatan langkung gampang lan onderdil langkung mirah tinimbang mobil merek sanesipun.",neutral,neutral,positive,positive,neutral,positive
"Sumpah, GTR ganteng sanget, asli.",neutral,neutral,positive,neutral,neutral,neutral
